CSCストアコード,都道府県,店舗名,,"no,",filename,お気に入り店舗QRのURL,LPURL,LPURL,,お気に入り店舗QRのURL
0000041801,埼玉県,イオンレイクタウンmori,laketown-mori,028,028laketown-mori.html,https://iaeon.go.link/destination=qrscan_storecode?adj_t=1ghpmxty&adj_label=&store_code=0000041801,https://www.aeon.com/aeonapp/campaign/202512_newentry50_LP/028laketown-mori.html,https://www.aeon.com/aeonapp/campaign/202512_newentry50_LP/028laketown-mori.html,,https://iaeon.go.link/destination=qrscan_storecode?adj_t=1ghpmxty&adj_label=&store_code=https://iaeon.go.link/destination=qrscan_storecode?adj_t=1ghpmxty&adj_label=&store_code=0000041801
00000M1557,埼玉県,イオンレイクタウンkaze,laketown-kaze,029,029laketown-kaze.html,https://iaeon.go.link/destination=qrscan_storecode?adj_t=1ghpmxty&adj_label=&store_code=00000M1557,https://www.aeon.com/aeonapp/campaign/202512_newentry50_LP/029laketown-kaze.html,https://www.aeon.com/aeonapp/campaign/202512_newentry50_LP/029laketown-kaze.html,,https://iaeon.go.link/destination=qrscan_storecode?adj_t=1ghpmxty&adj_label=&store_code=https://iaeon.go.link/destination=qrscan_storecode?adj_t=1ghpmxty&adj_label=&store_code=00000M1557
00000M1117,群馬県,イオンモール太田,ota,030,030ota.html,https://iaeon.go.link/destination=qrscan_storecode?adj_t=1ghpmxty&adj_label=&store_code=00000M1117,https://www.aeon.com/aeonapp/campaign/202512_newentry50_LP/030ota.html,https://www.aeon.com/aeonapp/campaign/202512_newentry50_LP/030ota.html,,https://iaeon.go.link/destination=qrscan_storecode?adj_t=1ghpmxty&adj_label=&store_code=https://iaeon.go.link/destination=qrscan_storecode?adj_t=1ghpmxty&adj_label=&store_code=00000M1117
00000M1124,群馬県,イオンモール高崎,takasaki,031,031takasaki.html,https://iaeon.go.link/destination=qrscan_storecode?adj_t=1ghpmxty&adj_label=&store_code=00000M1124,https://www.aeon.com/aeonapp/campaign/202512_newentry50_LP/031takasaki.html,https://www.aeon.com/aeonapp/campaign/202512_newentry50_LP/031takasaki.html,,https://iaeon.go.link/destination=qrscan_storecode?adj_t=1ghpmxty&adj_label=&store_code=https://iaeon.go.link/destination=qrscan_storecode?adj_t=1ghpmxty&adj_label=&store_code=00000M1124
00000M1521,千葉県,イオンモール柏,kashiwa,032,032kashiwa.html,https://iaeon.go.link/destination=qrscan_storecode?adj_t=1ghpmxty&adj_label=&store_code=00000M1521,https://www.aeon.com/aeonapp/campaign/202512_newentry50_LP/032kashiwa.html,https://www.aeon.com/aeonapp/campaign/202512_newentry50_LP/032kashiwa.html,,https://iaeon.go.link/destination=qrscan_storecode?adj_t=1ghpmxty&adj_label=&store_code=https://iaeon.go.link/destination=qrscan_storecode?adj_t=1ghpmxty&adj_label=&store_code=00000M1521
00000M1147,千葉県,イオンモール木更津,kisarazu,033,033kisarazu.html,https://iaeon.go.link/destination=qrscan_storecode?adj_t=1ghpmxty&adj_label=&store_code=00000M1147,https://www.aeon.com/aeonapp/campaign/202512_newentry50_LP/033kisarazu.html,https://www.aeon.com/aeonapp/campaign/202512_newentry50_LP/033kisarazu.html,,https://iaeon.go.link/destination=qrscan_storecode?adj_t=1ghpmxty&adj_label=&store_code=https://iaeon.go.link/destination=qrscan_storecode?adj_t=1ghpmxty&adj_label=&store_code=00000M1147
00000M1123,千葉県,イオンモール千葉ニュータウン,chibanewtown,034,034chibanewtown.html,https://iaeon.go.link/destination=qrscan_storecode?adj_t=1ghpmxty&adj_label=&store_code=00000M1123,https://www.aeon.com/aeonapp/campaign/202512_newentry50_LP/034chibanewtown.html,https://www.aeon.com/aeonapp/campaign/202512_newentry50_LP/034chibanewtown.html,,https://iaeon.go.link/destination=qrscan_storecode?adj_t=1ghpmxty&adj_label=&store_code=https://iaeon.go.link/destination=qrscan_storecode?adj_t=1ghpmxty&adj_label=&store_code=00000M1123
00000M1519,千葉県,イオンモール銚子,choshi,035,035choshi.html,https://iaeon.go.link/destination=qrscan_storecode?adj_t=1ghpmxty&adj_label=&store_code=00000M1519,https://www.aeon.com/aeonapp/campaign/202512_newentry50_LP/035choshi.html,https://www.aeon.com/aeonapp/campaign/202512_newentry50_LP/035choshi.html,,https://iaeon.go.link/destination=qrscan_storecode?adj_t=1ghpmxty&adj_label=&store_code=https://iaeon.go.link/destination=qrscan_storecode?adj_t=1ghpmxty&adj_label=&store_code=00000M1519
00000M1524,千葉県,イオンモール津田沼,tudanuma,036,036tudanuma.html,https://iaeon.go.link/destination=qrscan_storecode?adj_t=1ghpmxty&adj_label=&store_code=00000M1524,https://www.aeon.com/aeonapp/campaign/202512_newentry50_LP/036tudanuma.html,https://www.aeon.com/aeonapp/campaign/202512_newentry50_LP/036tudanuma.html,,https://iaeon.go.link/destination=qrscan_storecode?adj_t=1ghpmxty&adj_label=&store_code=https://iaeon.go.link/destination=qrscan_storecode?adj_t=1ghpmxty&adj_label=&store_code=00000M1524
00000M1109,千葉県,イオンモール成田,narita,037,037narita.html,https://iaeon.go.link/destination=qrscan_storecode?adj_t=1ghpmxty&adj_label=&store_code=00000M1109,https://www.aeon.com/aeonapp/campaign/202512_newentry50_LP/037narita.html,https://www.aeon.com/aeonapp/campaign/202512_newentry50_LP/037narita.html,,https://iaeon.go.link/destination=qrscan_storecode?adj_t=1ghpmxty&adj_label=&store_code=https://iaeon.go.link/destination=qrscan_storecode?adj_t=1ghpmxty&adj_label=&store_code=00000M1109
00000M1103,千葉県,イオンモール富津,futtu,038,038futtu.html,https://iaeon.go.link/destination=qrscan_storecode?adj_t=1ghpmxty&adj_label=&store_code=00000M1103,https://www.aeon.com/aeonapp/campaign/202512_newentry50_LP/038futtu.html,https://www.aeon.com/aeonapp/campaign/202512_newentry50_LP/038futtu.html,,https://iaeon.go.link/destination=qrscan_storecode?adj_t=1ghpmxty&adj_label=&store_code=https://iaeon.go.link/destination=qrscan_storecode?adj_t=1ghpmxty&adj_label=&store_code=00000M1103
00000M1530,千葉県,イオンモール船橋,funabashi,039,039funabashi.html,https://iaeon.go.link/destination=qrscan_storecode?adj_t=1ghpmxty&adj_label=&store_code=00000M1530,https://www.aeon.com/aeonapp/campaign/202512_newentry50_LP/039funabashi.html,https://www.aeon.com/aeonapp/campaign/202512_newentry50_LP/039funabashi.html,,https://iaeon.go.link/destination=qrscan_storecode?adj_t=1ghpmxty&adj_label=&store_code=https://iaeon.go.link/destination=qrscan_storecode?adj_t=1ghpmxty&adj_label=&store_code=00000M1530
00000M1190,千葉県,イオンモール幕張新都心,makuharishintoshin,040,040makuharishintoshin.html,https://iaeon.go.link/destination=qrscan_storecode?adj_t=1ghpmxty&adj_label=&store_code=00000M1190,https://www.aeon.com/aeonapp/campaign/202512_newentry50_LP/040makuharishintoshin.html,https://www.aeon.com/aeonapp/campaign/202512_newentry50_LP/040makuharishintoshin.html,,https://iaeon.go.link/destination=qrscan_storecode?adj_t=1ghpmxty&adj_label=&store_code=https://iaeon.go.link/destination=qrscan_storecode?adj_t=1ghpmxty&adj_label=&store_code=00000M1190
00000M1522,千葉県,イオンモール八千代緑が丘,yachiyomidorigaoka,041,041yachiyomidorigaoka.html,https://iaeon.go.link/destination=qrscan_storecode?adj_t=1ghpmxty&adj_label=&store_code=00000M1522,https://www.aeon.com/aeonapp/campaign/202512_newentry50_LP/041yachiyomidorigaoka.html,https://www.aeon.com/aeonapp/campaign/202512_newentry50_LP/041yachiyomidorigaoka.html,,https://iaeon.go.link/destination=qrscan_storecode?adj_t=1ghpmxty&adj_label=&store_code=https://iaeon.go.link/destination=qrscan_storecode?adj_t=1ghpmxty&adj_label=&store_code=00000M1522
00000M1150,東京都,イオンモール多摩平の森,tamatairanomori,042,042tamatairanomori.html,https://iaeon.go.link/destination=qrscan_storecode?adj_t=1ghpmxty&adj_label=&store_code=00000M1150,https://www.aeon.com/aeonapp/campaign/202512_newentry50_LP/042tamatairanomori.html,https://www.aeon.com/aeonapp/campaign/202512_newentry50_LP/042tamatairanomori.html,,https://iaeon.go.link/destination=qrscan_storecode?adj_t=1ghpmxty&adj_label=&store_code=https://iaeon.go.link/destination=qrscan_storecode?adj_t=1ghpmxty&adj_label=&store_code=00000M1150
00000M1518,東京都,イオンモール東久留米,higashikurume,043,043higashikurume.html,https://iaeon.go.link/destination=qrscan_storecode?adj_t=1ghpmxty&adj_label=&store_code=00000M1518,https://www.aeon.com/aeonapp/campaign/202512_newentry50_LP/043higashikurume.html,https://www.aeon.com/aeonapp/campaign/202512_newentry50_LP/043higashikurume.html,,https://iaeon.go.link/destination=qrscan_storecode?adj_t=1ghpmxty&adj_label=&store_code=https://iaeon.go.link/destination=qrscan_storecode?adj_t=1ghpmxty&adj_label=&store_code=00000M1518
00000M1127,東京都,イオンモール日の出,hinode,044,044hinode.html,https://iaeon.go.link/destination=qrscan_storecode?adj_t=1ghpmxty&adj_label=&store_code=00000M1127,https://www.aeon.com/aeonapp/campaign/202512_newentry50_LP/044hinode.html,https://www.aeon.com/aeonapp/campaign/202512_newentry50_LP/044hinode.html,,https://iaeon.go.link/destination=qrscan_storecode?adj_t=1ghpmxty&adj_label=&store_code=https://iaeon.go.link/destination=qrscan_storecode?adj_t=1ghpmxty&adj_label=&store_code=00000M1127
00000M1552,東京都,イオンモールむさし村山,musashimurayama,045,045musashimurayama.html,https://iaeon.go.link/destination=qrscan_storecode?adj_t=1ghpmxty&adj_label=&store_code=00000M1552,https://www.aeon.com/aeonapp/campaign/202512_newentry50_LP/045musashimurayama.html,https://www.aeon.com/aeonapp/campaign/202512_newentry50_LP/045musashimurayama.html,,https://iaeon.go.link/destination=qrscan_storecode?adj_t=1ghpmxty&adj_label=&store_code=https://iaeon.go.link/destination=qrscan_storecode?adj_t=1ghpmxty&adj_label=&store_code=00000M1552
00000M1114,神奈川県,イオンモール大和,yamato,046,046yamato.html,https://iaeon.go.link/destination=qrscan_storecode?adj_t=1ghpmxty&adj_label=&store_code=00000M1114,https://www.aeon.com/aeonapp/campaign/202512_newentry50_LP/046yamato.html,https://www.aeon.com/aeonapp/campaign/202512_newentry50_LP/046yamato.html,,https://iaeon.go.link/destination=qrscan_storecode?adj_t=1ghpmxty&adj_label=&store_code=https://iaeon.go.link/destination=qrscan_storecode?adj_t=1ghpmxty&adj_label=&store_code=00000M1114
00000M1559,山梨県,イオンモール甲府昭和,kofusyowa,047,047kofusyowa.html,https://iaeon.go.link/destination=qrscan_storecode?adj_t=1ghpmxty&adj_label=&store_code=00000M1559,https://www.aeon.com/aeonapp/campaign/202512_newentry50_LP/047kofusyowa.html,https://www.aeon.com/aeonapp/campaign/202512_newentry50_LP/047kofusyowa.html,,https://iaeon.go.link/destination=qrscan_storecode?adj_t=1ghpmxty&adj_label=&store_code=https://iaeon.go.link/destination=qrscan_storecode?adj_t=1ghpmxty&adj_label=&store_code=00000M1559
00000M1523,新潟県,イオンモール新発田,shibata,048,048shibata.html,https://iaeon.go.link/destination=qrscan_storecode?adj_t=1ghpmxty&adj_label=&store_code=00000M1523,https://www.aeon.com/aeonapp/campaign/202512_newentry50_LP/048shibata.html,https://www.aeon.com/aeonapp/campaign/202512_newentry50_LP/048shibata.html,,https://iaeon.go.link/destination=qrscan_storecode?adj_t=1ghpmxty&adj_label=&store_code=https://iaeon.go.link/destination=qrscan_storecode?adj_t=1ghpmxty&adj_label=&store_code=00000M1523
00000M1520,新潟県,イオンモール新潟亀田インター,niigatakameda-inter,049,049niigatakameda-inter.html,https://iaeon.go.link/destination=qrscan_storecode?adj_t=1ghpmxty&adj_label=&store_code=00000M1520,https://www.aeon.com/aeonapp/campaign/202512_newentry50_LP/049niigatakameda-inter.html,https://www.aeon.com/aeonapp/campaign/202512_newentry50_LP/049niigatakameda-inter.html,,https://iaeon.go.link/destination=qrscan_storecode?adj_t=1ghpmxty&adj_label=&store_code=https://iaeon.go.link/destination=qrscan_storecode?adj_t=1ghpmxty&adj_label=&store_code=00000M1520
