CSCストアコード,都道府県,店舗名,お気に入り店舗QRのURL,画像名,屋号,画像表示開始日,画像表示終了日,市町村,住所,緯度,経度
0000030260,北海道,イオン苫小牧店,https://www.aeon-hokkaido.jp/aeon/shop/tomakomai/?utm_source=aeon_app&utm_medium=app,,イオン北海道株式会社,,,苫小牧市,柳町3-1-20,42.65633,141.642023
0000063781,北海道,イオン名寄ショッピングセンター,https://nayoro-sc.com/?utm_source=aeon_app&utm_medium=app,,イオン北海道株式会社,,,名寄市,徳田80-1,44.338753,142.453126
0000063780,北海道,イオン名寄店,https://www.aeon-hokkaido.jp/aeon/shop/nayoro/?utm_source=aeon_app&utm_medium=app,,イオン北海道株式会社,,,名寄市,字徳田80-1,44.338553,142.452926
0000063320,北海道,イオン根室店,https://www.aeon-hokkaido.jp/aeon/shop/nemuro/?utm_source=aeon_app&utm_medium=app,,イオン北海道株式会社,,,根室市,常盤町3-9,43.332222,145.582937
0000063360,北海道,イオン登別店,https://www.aeon-hokkaido.jp/aeon/shop/noboribetsu/?utm_source=aeon_app&utm_medium=app,,イオン北海道株式会社,,,登別市,若山町4-33-1,42.381349,141.068468
0000804180,北海道,イオン東札幌店,https://www.aeon-hokkaido.jp/aeon/shop/higashisapporo/?utm_source=aeon_app&utm_medium=app,,イオン北海道株式会社,,,札幌市白石区,東札幌3条2-1,43.05266,141.385284
0000063350,北海道,イオン室蘭店,https://www.aeon-hokkaido.jp/aeon/shop/muroran/?utm_source=aeon_app&utm_medium=app,,イオン北海道株式会社,,,室蘭市,東町2-4-32,42.345078,141.026198
0000063430,北海道,イオン紋別店,https://www.aeon-hokkaido.jp/aeon/shop/monbetsu/?utm_source=aeon_app&utm_medium=app,,イオン北海道株式会社,,,紋別市,花園町3-4-39,44.349459,143.34783
0000807340,北海道,イオン湯川店,https://www.aeon-hokkaido.jp/aeon/shop/yunokawa/?utm_source=aeon_app&utm_medium=app,,イオン北海道株式会社,,,函館市,湯川町3-14-5,41.777669,140.794059
0000063460,北海道,イオン余市店,https://www.aeon-hokkaido.jp/aeon/shop/yoichi/?utm_source=aeon_app&utm_medium=app,,イオン北海道株式会社,,,余市郡余市町,黒川町12-62-1,43.185617,140.798522
0000013060,北海道,イオンスーパーセンター石狩緑苑台店,https://www.aeon-hokkaido.jp/aeon/shop/ishikari/?utm_source=aeon_app&utm_medium=app,,イオン北海道株式会社,,,石狩市,緑苑台中央1-2,43.158609,141.335347
0000013070,北海道,イオンスーパーセンター手稲山口店,https://www.aeon-hokkaido.jp/aeon/shop/teine/?utm_source=aeon_app&utm_medium=app,,イオン北海道株式会社,,,札幌市手稲区,明日風6-1-1,43.141896,141.233888
0000013050,北海道,イオンスーパーセンター三笠店,https://www.aeon-hokkaido.jp/aeon/shop/mikasa/?utm_source=aeon_app&utm_medium=app,,イオン北海道株式会社,,,三笠市,岡山1059-1,43.24354,141.805544
0000029190,北海道,ザ・ビッグ石山店,https://www.aeon-hokkaido.jp/big/shop/ishiyama/?utm_source=aeon_app&utm_medium=app,,イオン北海道株式会社,,,札幌市南区,石山2条9-7-58,42.959878,141.315209
0000020040,北海道,ザ・ビッグ岩見沢店,https://www.aeon-hokkaido.jp/big/shop/iwamizawa/?utm_source=aeon_app&utm_medium=app,,イオン北海道株式会社,,,岩見沢市,2条東12-3-1,43.212137,141.777774
0000085160,北海道,イオンタウン江別,https://www.aeontown.co.jp/ebetsu,,イオンタウン株式会社,,,江別市,野幌町10-1,43.095172,141.525505
0000029610,北海道,ザ・ビッグ江別店,https://www.aeon-hokkaido.jp/big/shop/ebetsu/?utm_source=aeon_app&utm_medium=app,,イオン北海道株式会社,,,江別市,野幌町10-1,43.095167,141.525517
0000034890,北海道,ザ・ビッグ川北店,https://www.aeon-hokkaido.jp/big/shop/kawakita/?utm_source=aeon_app&utm_medium=app,,イオン北海道株式会社,,,釧路市,川北町1-3,42.989337,144.389643
